Timestamp,What is your current year of study,What is your current relationship status?,How do you prefer studying before exams?,Do you do competitive programming?,Which hostel do you live in?,What is your gender?,What is your favourite sport?,Favourite hangout place in campus,Which state/union territory do you belong to?,What is your dept?,What is your preferred coding language?,What is your favourite place to eat at IIT Guwahati?,Which is your favourite club in IIT Guwahati?,Are you satisfied in IIT Guwahati,What is your current cpi?
2022/08/15 2:57:34 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,,Man,Table tennis ,IIT G lake (in front of library),Haryana,CSE,C++,Rolls Mania/Tacos,Octaves,No,9.86
2022/08/15 2:57:46 pm GMT+5:30,3rd,Single,Studying on a regular basis,No,Manas,Man,Football,IIT G lake (in front of library),Uttar Pradesh,CST,Python,Hostel Canteen,ml.ai,No,1
2022/08/15 2:58:25 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Disang,Woman,Badminton,IIT G lake (in front of library),West Bengal,ECE,C,Hostel Mess,Robotics,Maybe,9.3
2022/08/15 2:59:33 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,,Man,Football ,IIT G lake (in front of library),The Government of NCT of Delhi,,Python,Food Court,Coding Club,Maybe,7.5
2022/08/15 3:01:10 pm GMT+5:30,,Single,Studying on a regular basis,No,Lohit,Man,Cricket,IIT G lake (in front of library),Uttar Pradesh,,Java,Hostel Canteen,ml.ai,Yes,8.83
2022/08/15 3:02:53 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,Cricket,Food Court,Chhattisgarh,ECE,C++,Hostel Canteen,ml.ai,Yes,8.43
2022/08/15 3:03:33 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Kapili,Man,Cricket,Hostel Canteen,Rajasthan,CSE,C,Food Court,E cell,Yes,9.26
2022/08/15 3:03:48 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,,Man,Cricket ,Hostel Canteen,Uttar Pradesh,CSE,C++,Hostel Canteen,Coding Club,No,8.86
2022/08/15 3:04:20 pm GMT+5:30,2nd,It's complicated,Studying on a regular basis,Yes,Subansiri,Woman,Basketball,IIT G lake (in front of library),Telangana,CSE,Python,Others,Lit Soc,Yes,7.8
2022/08/15 3:04:23 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Lohit,Man,Chess,Khoka,Assam,EP,Python,Khoka,Consulting and Analytics,Yes,9
2022/08/15 3:05:02 pm GMT+5:30,3rd,It's complicated,Pulling of all nighters :),Yes,,Prefer not to say,Athletic ,IIT G lake (in front of library),Uttar Pradesh,ME,C++,Hostel Canteen,Alcher,No,7.94
2022/08/15 3:05:03 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Dihing,Man,Football,IIT G lake (in front of library),Gujarat,CSE,C++,Rolls Mania/Tacos,Coding Club,Maybe,8.2
2022/08/15 3:06:34 pm GMT+5:30,2nd,In a relationship,Studying on a regular basis,Yes,Barak,Man,Sex,Serpentine Lake 😏,Uttar Pradesh,EP,C++,Core Canteen,ml.ai,No,9.3
2022/08/15 3:08:24 pm GMT+5:30,3rd,Single,Pulling of all nighters :),No,,Man,Badminton,IIT G lake (in front of library),Jharkhand,CE,,Hostel Mess,Coding Club,Yes,8.41
2022/08/15 3:09:43 pm GMT+5:30,2nd,In a relationship,Studying on a regular basis,Yes,Disang,Woman,Basketball ,IIT G lake (in front of library),Haryana,MnC,C++,Core Canteen,Coding Club,Yes,9.02
2022/08/15 3:10:38 pm GMT+5:30,3rd,In a relationship,Studying on a regular basis,No,Bhramaputra,Man,Swimming,Hostel Canteen,Haryana,CL,C++,Khoka,Montage,No,8.38
2022/08/15 3:11:58 pm GMT+5:30,2nd,,Studying on a regular basis,No,Umiam,Man,Cricket,,The Government of NCT of Delhi,MnC,Python,Others,Consulting and Analytics,Yes,8.3
2022/08/15 3:12:01 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Disang,Man,Badminton,New Sac,,ME,C,Hostel Canteen,ml.ai,Yes,7
2022/08/15 3:12:30 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Lohit,Man,Athletics ,Old Sac,Uttar Pradesh,EEE,C++,Food Court,Montage,No,8.35
2022/08/15 3:14:50 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,Swimming ,IIT G lake (in front of library),Tamil Nadu,CSE,Python,Food Court,Coding Club,Maybe,9.5
2022/08/15 3:17:35 pm GMT+5:30,,Single,Studying on a regular basis,Yes,Bhramaputra,Man,Football,Serpentine Lake 😏,West Bengal,,C,Hostel Mess,Coding Club,Yes,"1st year Student. So CPI ""0"""
2022/08/15 3:19:11 pm GMT+5:30,4th,Single,Pulling of all nighters :),Yes,Lohit,Man,,Hostel Canteen,Andhra Pradesh,CSE,C++,Khoka,Alcher,Yes,9.1
2022/08/15 3:24:49 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Umiam,Man,Volleyball,Hostel Canteen,Karnataka,MnC,Python,Food Court,Consulting and Analytics,Yes,9.29
2022/08/15 3:30:06 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Disang,Woman,,Serpentine Lake 😏,Bihar,BSBE,Python,Khoka,Coding Club,Maybe,9.2
2022/08/15 3:33:11 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Umiam,Man,Badminton ,IIT G lake (in front of library),Maharashtra,EP,C++,Khoka,Coding Club,Maybe,7.64
2022/08/15 3:33:26 pm GMT+5:30,3rd,Single,Pulling of all nighters :),Yes,Manas,Man,Tennis,New Sac,West Bengal,CE,C++,Core Canteen,,Maybe,8.9
2022/08/15 3:35:06 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Dihing,Man,Cricket,IIT G lake (in front of library),Madhya Pradesh,EEE,Python,Hostel Canteen,Coding Club,Yes,7.84
2022/08/15 3:45:20 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Dhansiri,Prefer not to say,none,New Sac,Maharashtra,EEE,C++,Hostel Mess,Coding Club,Yes,noooooooooooo
2022/08/15 3:48:50 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Kapili,Man,Football,Hostel Canteen,Assam,CSE,C++,Hostel Mess,ml.ai,Maybe,9.29
2022/08/15 3:53:46 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Umiam,Man,NA,Khoka,Maharashtra,,Python,Khoka,,Yes,8.85
2022/08/15 3:58:14 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Disang,Man,hockey,IIT G lake (in front of library),Punjab,BSBE,Python,Rolls Mania/Tacos,Robotics,No,7.9
2022/08/15 3:59:14 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Kameng,Man,Football ,Playgrounds,Maharashtra,EEE,C++,Core Canteen,Coding Club,Yes,7.8
2022/08/15 4:01:23 pm GMT+5:30,2nd,It's complicated,Pulling of all nighters :),No,Dihing,Man,,IIT G lake (in front of library),Uttar Pradesh,CL,Python,Hostel Canteen,Anchoring Club,Yes,8.5
2022/08/15 4:07:48 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Barak,Man,Athletics,Serpentine Lake 😏,Uttar Pradesh,CSE,C++,Hostel Canteen,ml.ai,Yes,8
2022/08/15 4:09:24 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Subansiri,Woman,Basketball,Khoka,Odisha,CL,C++,Food Court,Cadence,Yes,8.02
2022/08/15 4:11:24 pm GMT+5:30,3rd,,Studying on a regular basis,Yes,Disang,,Nothing,Food Court,Bihar,ME,C++,Food Court,Coding Club,Yes,7.85
2022/08/15 4:14:01 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Siang,Man,Chess,Playgrounds,Maharashtra,ME,C++,Hostel Mess,Coding Club,Yes,9
2022/08/15 4:38:57 pm GMT+5:30,3rd,Single,Pulling of all nighters :),No,Disang,Man,Chess,New Sac,Maharashtra,EEE,C,Hostel Canteen,,Yes,7.84
2022/08/15 4:49:46 pm GMT+5:30,3rd,Single,Pulling of all nighters :),No,Disang,Man,Basketball ,New Sac,Andhra Pradesh,MnC,Python,Hostel Canteen,Coding Club,Yes,7.92
2022/08/15 4:52:06 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Kapili,Man,Football,Hostel Canteen,Madhya Pradesh,CSE,C++,Food Court,Coding Club,Yes,9.32
2022/08/15 5:11:44 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Bhramaputra,Man,Table tennis ,Hostel Canteen,Bihar,ME,C++,Khoka,Coding Club,Maybe,6.6
2022/08/15 5:12:09 pm GMT+5:30,3rd,Single,Studying on a regular basis,No,Siang,Man,,Hostel Canteen,West Bengal,CL,Others,Nonveg stalls near library,Equinox,Maybe,8.5
2022/08/15 5:21:34 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Siang,Man,,,,,Python,,,No,6
2022/08/15 5:22:28 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Umiam,Man,Badminton,IIT G lake (in front of library),Telangana,CSE,C++,Food Court,Lit Soc,No,9.48
2022/08/15 5:23:12 pm GMT+5:30,2nd,It's complicated,Pulling of all nighters :),No,Disang,Woman,"to watch is cricket and basketball, to play is volleyball",IIT G lake (in front of library),Andhra Pradesh,CSE,C,Others,,Maybe,I prefer not to say
2022/08/15 5:24:34 pm GMT+5:30,3rd,Single,Studying on a regular basis,No,Bhramaputra,Man,Badminton ,Playgrounds,Maharashtra,CSE,,,,,8.63
2022/08/15 5:26:58 pm GMT+5:30,3rd,Single,Studying on a regular basis,Yes,Kameng,Man,Volleyball ,Khoka,Andhra Pradesh,CSE,C++,Hostel Canteen,Coding Club,Yes,8.36
2022/08/15 5:27:35 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Siang,Man,Archery,Food Court,Andhra Pradesh,CSE,C++,Rolls Mania/Tacos,Equinox,Yes,8.35
2022/08/15 5:28:15 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Disang,Woman,,Lake in front of the hospital,Rajasthan,EEE,,Khoka,,Maybe,7.91
2022/08/15 5:29:40 pm GMT+5:30,3rd,Single,Studying on a regular basis,No,Disang,Man,Cricket ,Playgrounds,Uttar Pradesh,ME,Python,Food Court,IITG Racing,Yes,7.48
2022/08/15 5:32:39 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Lohit,Man,Cricket ,Playgrounds,Uttar Pradesh,CSE,C++,Food Court,Robotics,Yes,7.52
2022/08/15 5:38:15 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Dhansiri,Woman,Table tennis,IIT G lake (in front of library),Telangana,CSE,C++,Food Court,Coding Club,Maybe,7.88
2022/08/15 5:39:53 pm GMT+5:30,,It's complicated,Pulling of all nighters :),Yes,Bhramaputra,Man,WWE ,Playgrounds,Bihar,CSE,C++,Khoka,Coding Club,Yes,8.22
2022/08/15 5:40:43 pm GMT+5:30,2nd,It's complicated,Pulling of all nighters :),No,Kapili,Man,Badminton,Playgrounds,Rajasthan,CSE,C,Hostel Canteen,Finance and Economics,Yes,7.96
2022/08/15 5:40:55 pm GMT+5:30,3rd,Single,Pulling of all nighters :),No,Bhramaputra,Man,Badminton ,Khoka,Rajasthan,EP,C++,Khoka,Coding Club,Yes,6.77
2022/08/15 5:42:56 pm GMT+5:30,3rd,Single,Pulling of all nighters :),Yes,Bhramaputra,Man,,New Sac,Maharashtra,,C++,,Coding Club,Maybe,Between 8 and 9
2022/08/15 5:43:49 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,,Man,,,,,C++,,,Yes,9.71
2022/08/15 5:45:12 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Kameng,Man,,,Bihar,CST,C++,Khoka,Aeromodelling,No,6.9
2022/08/15 5:46:23 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Lohit,Man,Dodgeball,IIT G lake (in front of library),Haryana,CSE,C++,Food Court,Xpressions,Maybe,9.5
2022/08/15 5:50:54 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Bhramaputra,Man,Bro?,New Sac,Rajasthan,,C++,Khoka,ml.ai,Maybe,Bruh
2022/08/15 5:53:07 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Umiam,Man,Cricket,Hostel Canteen,Andhra Pradesh,ECE,C++,Core Canteen,Aeromodelling,Yes,8.8
2022/08/15 5:53:54 pm GMT+5:30,3rd,In a relationship,Studying on a regular basis,No,Disang,Prefer not to say,Badminton ,New Sac,Maharashtra,CE,,Hostel Canteen,Coding Club,Yes,8.12
2022/08/15 5:55:19 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Siang,Man,table tennis,Food Court,Maharashtra,MnC,C++,Rolls Mania/Tacos,Finance and Economics,Yes,8.88
2022/08/15 6:04:37 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Barak,Man,Badminton ,New Sac,Andhra Pradesh,CST,C,Rolls Mania/Tacos,E cell,Yes,7.7
2022/08/15 6:11:16 pm GMT+5:30,3rd,Single,Pulling of all nighters :),Yes,Disang,Man,Cricket,IIT G lake (in front of library),Uttar Pradesh,CSE,C++,Rolls Mania/Tacos,Coding Club,Yes,9.2
2022/08/15 6:13:34 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Lohit,Man,Handball,Market Complex,Gujarat,CSE,C++,Food Court,E cell,Yes,😂😂😂😂
2022/08/15 6:17:20 pm GMT+5:30,4th,It's complicated,Studying on a regular basis,No,Kameng,Non-binary,Barricade riding,Playgrounds,Andaman and Nicobar Islands,HSS,Python,Hostel Mess,Palates,No,4.07
2022/08/15 6:23:50 pm GMT+5:30,2nd,It's complicated,Studying on a regular basis,Yes,Bhramaputra,Man,Badminton,Playgrounds,Himachal Pradesh,CSE,Python,Rolls Mania/Tacos,Coding Club,Maybe,9.79
2022/08/15 6:25:28 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Bhramaputra,Man,GYMMING ,IIT G lake (in front of library),Uttar Pradesh,ME,Python,Rolls Mania/Tacos,ml.ai,Yes,7.9
2022/08/15 6:32:32 pm GMT+5:30,3rd,Single,Studying on a regular basis,No,Bhramaputra,Man,LT,Khoka,Maharashtra,BSBE,Python,Khoka,E cell,Yes,7.8
2022/08/15 6:36:26 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Umiam,Man,,Lake in front of the hospital,The Government of NCT of Delhi,EP,Python,Khoka,,Maybe,6.9
2022/08/15 6:36:30 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Dhansiri,Woman,Badminton ,IIT G lake (in front of library),Uttar Pradesh,Dsai,C,Food Court,Xpressions,Maybe,7.9
2022/08/15 6:37:13 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Disang,Woman,Figure Skating ,Hostel Canteen,The Government of NCT of Delhi,BSBE,Python,Rolls Mania/Tacos,iitg.ai,Maybe,8.73
2022/08/15 6:49:23 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Disang,Woman,Badminton,IIT G lake (in front of library),Maharashtra,CSE,C++,Food Court,E cell,Yes,8.44
2022/08/15 6:51:44 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Bhramaputra,Man,Cricket,Serpentine Lake 😏,West Bengal,CST,Others,Food Court,Coding Club,Maybe,6.8
2022/08/15 7:01:26 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Brahmaputra,Man,Cricket,New Sac,West Bengal,Dsai,C++,Others,Coding Club,Yes,8.97
2022/08/15 7:06:44 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Kapili,Man,Cricket ,Others,Rajasthan,CSE,C++,Food Court,Coding Club,Maybe,8.3
2022/08/15 7:09:08 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Siang,Man,Table Tennis,Others,The Government of NCT of Delhi,CSE,C++,Hostel Mess,Coding Club,No,9.48
2022/08/15 7:12:54 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,Badminton ,Playgrounds,Uttar Pradesh,,C++,Hostel Canteen,Aeromodelling,No,7.9
2022/08/15 7:27:00 pm GMT+5:30,3rd,Single,Pulling of all nighters :),Yes,Siang,Man,Cricket,Hostel Canteen,Uttar Pradesh,BSBE,C++,Food Court,Coding Club,Yes,8.01
2022/08/15 7:29:09 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Umiam,Man,Cricket,IIT G lake (in front of library),Maharashtra,ECE,C++,Food Court,IITG Racing,No,8.77
2022/08/15 7:29:47 pm GMT+5:30,2nd,It's complicated,Pulling of all nighters :),Yes,Lohit,Man,Football,New Sac,Madhya Pradesh,CSE,C++,Nonveg stalls near library,Coding Club,Maybe,9.71
2022/08/15 7:40:49 pm GMT+5:30,2nd,It's complicated,Studying on a regular basis,Yes,Barak,Man,chess,IIT G lake (in front of library),Madhya Pradesh,EEE,C++,Rolls Mania/Tacos,Finance and Economics,Maybe,8.02
2022/08/15 7:48:25 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Barak,Man,Badminton,Others,Rajasthan,ECE,C++,Food Court,Robotics,Yes,8.38
2022/08/15 7:59:03 pm GMT+5:30,,Single,Pulling of all nighters :),Yes,Kameng,,,,Bihar,CST,C++,Khoka,Aeromodelling,No,6.9
2022/08/15 8:01:46 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Lohit,Man,Badminton ,Hostel Canteen,Uttar Pradesh,CSE,C,Hostel Mess,,Maybe,8.23
2022/08/15 8:03:28 pm GMT+5:30,2nd,It's complicated,Studying on a regular basis,No,Lohit,Man,,Others,Rajasthan,ECE,C++,Food Court,Coding Club,Maybe,7.8
2022/08/15 8:11:57 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Lohit,Man,Chess,Food Court,Bihar,ECE,C++,Rolls Mania/Tacos,Alcher,Maybe,8.22
2022/08/15 8:17:52 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Lohit,Man,Tennis,Khoka,Jharkhand,ECE,C++,Rolls Mania/Tacos,Consulting and Analytics,Maybe,8.27
2022/08/15 8:32:17 pm GMT+5:30,1st,It's complicated,Studying on a regular basis,No,Dibang,Prefer not to say,,,Andaman and Nicobar Islands,,,Nonveg stalls near library,Equinox,Maybe,9.9
2022/08/15 8:32:30 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,,Man,None,,,ECE,C++,Core Canteen,Coding Club,Yes,8.52
2022/08/15 8:45:34 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Dhansiri,Woman,CRICKET,New Sac,Kerala,ME,Python,Core Canteen,iitg.ai,Yes,5.58
2022/08/15 9:18:14 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Disang,Woman,Table tennis,New Sac,West Bengal,ME,C++,Khoka,Game dev and E-sports,Yes,7.9
2022/08/15 9:23:35 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Dhansiri,Woman,,IIT G lake (in front of library),Uttar Pradesh,EEE,Java,Food Court,E cell,Yes,8.33
2022/08/15 9:23:36 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Lohit,Man,Basketball,Others,Rajasthan,ECE,C++,Food Court,E cell,Maybe,8+
2022/08/15 9:30:51 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Brahmaputra,Man,Cricket ,Khoka,Jharkhand,CL,C++,Khoka,E cell,Yes,7.47
2022/08/15 9:48:21 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Umiam,Man,Badminton,Khoka,Bihar,Dsai,C++,Khoka,Coding Club,Yes,9.03
2022/08/15 10:03:42 pm GMT+5:30,3rd,Single,Pulling of all nighters :),No,Brahmaputra,Man,Tennis ,New Sac,Maharashtra,ECE,Java,Khoka,Coding Club,Yes,8.65
2022/08/15 10:05:15 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Brahmaputra,Man,,Khoka,Uttar Pradesh,Dsai,C++,Khoka,Coding Club,Maybe,9.41
2022/08/15 10:08:48 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Lohit,Man,Badminton ,New Sac,Uttar Pradesh,EEE,C++,Hostel Mess,Cadence,Yes,8.5
2022/08/15 10:16:21 pm GMT+5:30,4th,Single,Studying on a regular basis,No,Barak,Man,Cricket,Khoka,Bihar,EEE,Python,Khoka,iitg.ai,Yes,8
2022/08/15 10:40:41 pm GMT+5:30,2nd,It's complicated,Pulling of all nighters :),Yes,Umiam,Man,Swimming ,Playgrounds,Maharashtra,ME,C++,Hostel Mess,Consulting and Analytics,Maybe,1107.87
2022/08/15 10:45:58 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Lohit,Man,Swimming,IIT G lake (in front of library),Maharashtra,ECE,C++,Hostel Canteen,Coding Club,Yes,8.51
2022/08/15 10:48:41 pm GMT+5:30,2nd,In a relationship,Studying on a regular basis,Yes,Brahmaputra,Man,Table Tennis,Serpentine Lake 😏,Maharashtra,ECE,C++,Food Court,Coding Club,Yes,8.51
2022/08/15 10:50:32 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,,Hostel Canteen,Goa,CST,C++,Nonveg stalls near library,Finance and Economics,Yes,8.65
2022/08/15 11:04:27 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Manas,Man,Cricket ,Hostel Canteen,Madhya Pradesh,CSE,C++,Food Court,Coding Club,Yes,6.7
2022/08/16 1:10:54 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Dhansiri,Woman,Badminton ,New Sac,Rajasthan,ECE,Python,Food Court,E cell,Maybe,8.31
2022/08/16 1:11:51 am GMT+5:30,2nd,In a relationship,Studying on a regular basis,Yes,Barak,Man,Cricket,Lake in front of the hospital,Chhattisgarh,CSE,C++,Food Court,E cell,Yes,9.6
2022/08/16 1:12:01 am GMT+5:30,2nd,In a relationship,Studying on a regular basis,No,Barak,Woman,basketball ,Lake in front of the hospital,Madhya Pradesh,ECE,C++,Food Court,Palates,No,7.97
2022/08/16 2:52:02 am GMT+5:30,1st,Single,Pulling of all nighters :),No,Disang,Woman,Badminton ,IIT G lake (in front of library),Uttar Pradesh,MnC,C++,Others,Cadence,Yes,-
2022/08/16 3:01:15 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Manas,Man,Volleyball ,New Sac,Maharashtra,ECE,Python,Hostel Mess,Xpressions,Yes,6.8
